district,chiefdom,name,region,urban/rural ,address,facility_type,ownership,facility_status,gps_altitude,gps_precision,imputed_lat_long,latitude,longitude,geometry,Population,Cell Towers,Courts,Schools,Financial Institutions,Health Facilities,Water Points
Bo,Bo,Bo Gov. Hospital,South,Urban,Bo,HOSPITAL,Govt,,,,True,7.961901859,-11.72079103,POINT (-11.72079103 7.961901859),574918,34,26,980,277,128,3778
Bo,Bo,Children Hospital,South,Urban,Bo Children's Hospital,HOSPITAL, NGO,,,,True,7.961021076000001,-11.71896599,POINT (-11.71896599 7.961021076000001),574918,34,26,980,277,128,3778
Bo,Bo,Boima Hospital,South,Urban,Sowa Clinic,HOSPITAL,Private,,,,True,7.96212187,-11.71944959,POINT (-11.71944959 7.96212187),574918,34,26,980,277,128,3778
Bo,Bo,Gila'S Hospital,South,Urban,Gila's Hospital,HOSPITAL,Private,,,,True,7.961187381,-11.71992079,POINT (-11.71992079 7.961187381),574918,34,26,980,277,128,3778
Bo,Bo,Kindoya Hospital,South,Urban,Kindoya Hospital,HOSPITAL,Private,,,,True,7.960089,-11.738993,POINT (-11.738993 7.960089),574918,34,26,980,277,128,3778
Bo,Bo,Mercy Hospital,South,Urban,Kukua Kulanda Town,HOSPITAL,Mission,,,,True,7.96176427,-11.71884089,POINT (-11.71884089 7.96176427),574918,34,26,980,277,128,3778
Bo,Bo,Serabu Catholic Hospital,South,Rural,"Serabu town, bumpeh ngao, bo                      ",HOSPITAL,Mission,,,,True,7.963283783,-11.718998599999999,POINT (-11.7189986 7.963283783),574918,34,26,980,277,128,3778
Bo,Bo,Agape Clinic,South,Urban,Kakua,CHC,Govt,,,,True,7.963729975,-11.71983431,POINT (-11.71983431 7.963729975),574918,34,26,980,277,128,3778
Bo,Bo,Baomahun,South,Urban,Baomahun ,CHC,Govt,Open,180.0,5.0,False,8.41650948,-11.66755163,POINT (-11.66755163 8.41650948),574918,34,26,980,277,128,3778
Bo,Bo,Bumpe,South,Rural,BUMPEH- BUMPE NGAO,CHC,Govt,,,,True,7.963114223,-11.71809166,POINT (-11.71809166 7.963114223),574918,34,26,980,277,128,3778
Bo,Bo,Gbaiima,South,Rural,"Gbaiima Songa Village, Gbo Chiefdom, Bo District  ",CHC,Govt,,,,True,7.96178036,-11.71937306,POINT (-11.71937306 7.96178036),574918,34,26,980,277,128,3778
Bo,Bo,Gboyama,South,Rural,Gboyama ,CHC,Govt,Open,248.0,10.0,False,7.783491135,-11.42718124,POINT (-11.42718124 7.783491135),574918,34,26,980,277,128,3778
Bo,Bo,Gerihun St L,South,Rural,Gerihun ,CHC,Govt,,,,True,7.962562319,-11.71927583,POINT (-11.71927583 7.962562319),574918,34,26,980,277,128,3778
Bo,Bo,Gondama -Tikonko,South,Rural,"Gondama Town, Tikonko Chiefdom, Bo District       ",CHC,Govt,,,,True,7.962355862000001,-11.72055709,POINT (-11.72055709 7.962355862000001),574918,34,26,980,277,128,3778
Bo,Bo,Haikal,South,Urban,Haikal Community Health Centre,CHC,Govt,,,,True,7.961070332999999,-11.71877313,POINT (-11.71877313 7.961070332999999),574918,34,26,980,277,128,3778
Bo,Bo,Jimmi,South,Urban,Jimmi Town ,CHC,Govt,Open,142.0,20.0,False,7.604721069,-11.81342411,POINT (-11.81342411 7.604721069),574918,34,26,980,277,128,3778
Bo,Bo,Lyn Maternity,South,Urban,Bo,CHC,Govt,,,,True,7.962984476,-11.7180117,POINT (-11.7180117 7.962984476),574918,34,26,980,277,128,3778
Bo,Bo,Majama Umc,South,Urban,MANJAMA UMC,CHC,Mission,,,,True,7.962826073,-11.72033907,POINT (-11.72033907 7.962826073),574918,34,26,980,277,128,3778
Bo,Bo,Mamboma,South,Rural,Mamboma ,CHC,Govt,Open,128.0,5.0,False,7.840451241,-11.66403484,POINT (-11.66403484 7.840451241),574918,34,26,980,277,128,3778
Bo,Bo,Mongere,South,Rural,Bo,CHC,Govt,,,,True,7.961956136,-11.71925216,POINT (-11.71925216 7.961956136),574918,34,26,980,277,128,3778
Bo,Bo,Needy,South,Urban,Messima BO kakua,CHC,Govt,,,,True,7.962939962999999,-11.71955833,POINT (-11.71955833 7.962939962999999),574918,34,26,980,277,128,3778
Bo,Bo,New Police Barracks,South,Urban,kakua,CHC,Govt,,,,True,7.962518211,-11.71871169,POINT (-11.71871169 7.962518211),574918,34,26,980,277,128,3778
Bo,Bo,Ngelehun -Badjia,South,Rural,Ngelehun,CHC,Govt,,,,True,7.961313807000001,-11.71818444,POINT (-11.71818444 7.961313807000001),574918,34,26,980,277,128,3778
Bo,Bo,Njala-Komboya,South,Rural,Njala-Komboya,CHC,Govt,,,,True,7.964435175,-11.7177763,POINT (-11.7177763 7.964435175),574918,34,26,980,277,128,3778
Bo,Bo,Praise Foundation,South,Urban,Bo,CHC,Govt,,,,True,7.963153964,-11.72051032,POINT (-11.72051032 7.963153964),574918,34,26,980,277,128,3778
Bo,Bo,Sahn Bumpeh,South,Rural,Sahn Bumpeh Village,CHC,Govt,,,,True,7.960714041,-11.71850488,POINT (-11.71850488 7.960714041),574918,34,26,980,277,128,3778
Bo,Bo,Sahn-Niawa Lenga,South,Rural,Gboubu,CHC,Govt,,,,True,7.961750094,-11.71975438,POINT (-11.71975438 7.961750094),574918,34,26,980,277,128,3778
Bo,Bo,Slrc Clinic,South,Urban,KUKUA,CHC,Govt,,,,True,7.962288191,-11.71821104,POINT (-11.71821104 7.962288191),574918,34,26,980,277,128,3778
Bo,Bo,Yamandu,South,Rural,Yamandu ,CHC,Govt,Open,112.0,25.0,False,7.9337291720000005,-11.48983002,POINT (-11.48983002 7.933729172),574918,34,26,980,277,128,3778
Bo,Bo,Yambama,South,Rural,Yambama ,CHC,Govt,,,,True,7.962251605,-11.71913428,POINT (-11.71913428 7.962251605),574918,34,26,980,277,128,3778
Bo,Bo,Yemoh Town,South,Urban,"Yemoh Town, Kauka                                 ",CHC,Govt,Open,76.0,10.0,False,7.964083672,-11.72337532,POINT (-11.72337532 7.964083672),574918,34,26,980,277,128,3778
Bo,Bo,Zion Chc Bandawa,South,Rural,"Bandawa Village, Tikonko Chiefdom, Bo District    ",CHC,Mission,,,,True,7.963091707,-11.71931969,POINT (-11.71931969 7.963091707),574918,34,26,980,277,128,3778
Bo,Bo,Baoma Station,South,Rural,Baoma,CHP,Govt,Open,46.0,10.0,False,7.929236888999999,-11.43791103,POINT (-11.43791103 7.929236888999999),574918,34,26,980,277,128,3778
Bo,Bo,Bathurst,South,Rural,Bathurst community,CHP,Govt,,,,True,7.96368124,-11.72109258,POINT (-11.72109258 7.96368124),574918,34,26,980,277,128,3778
Bo,Bo,Brima Town,South,Urban,Bo,CHP,Govt,Open,108.0,10.0,False,7.963242531000001,-11.75460911,POINT (-11.75460911 7.963242531000001),574918,34,26,980,277,128,3778
Bo,Bo,Edc Unit Staff Clinic,South,Urban,Bo Town,CHP,Govt,,,,True,7.963957207000001,-11.71852984,POINT (-11.71852984 7.963957207000001),574918,34,26,980,277,128,3778
Bo,Bo,Faabu,South,Rural,Faabu community,CHP,Govt,Open,156.0,5.0,False,7.856485844,-11.54388332,POINT (-11.54388332 7.856485844),574918,34,26,980,277,128,3778
Bo,Bo,Feiba,South,Rural,Feiba community,CHP,Govt,Open,141.0,5.0,False,7.70200545,-11.52778411,POINT (-11.52778411 7.70200545),574918,34,26,980,277,128,3778
