district,name,address,facility_type,Population
Bo,Bo Gov. Hospital,Bo,HOSPITAL,574918
Bo,Children Hospital,Bo Children's Hospital,HOSPITAL,574918
Bo,Boima Hospital,Sowa Clinic,HOSPITAL,574918
Bo,Gila'S Hospital,Gila's Hospital,HOSPITAL,574918
Bo,Kindoya Hospital,Kindoya Hospital,HOSPITAL,574918
Bo,Mercy Hospital,Kukua Kulanda Town,HOSPITAL,574918
Bo,Serabu Catholic Hospital,"Serabu town, bumpeh ngao, bo                      ",HOSPITAL,574918
Bo,Agape Clinic,Kakua,CHC,574918
Bo,Baomahun,Baomahun ,CHC,574918
Bo,Bumpe,BUMPEH- BUMPE NGAO,CHC,574918
Bo,Gbaiima,"Gbaiima Songa Village, Gbo Chiefdom, Bo District  ",CHC,574918
Bo,Gboyama,Gboyama ,CHC,574918
Bo,Gerihun St L,Gerihun ,CHC,574918
Bo,Gondama -Tikonko,"Gondama Town, Tikonko Chiefdom, Bo District       ",CHC,574918
Bo,Haikal,Haikal Community Health Centre,CHC,574918
Bo,Jimmi,Jimmi Town ,CHC,574918
Bo,Lyn Maternity,Bo,CHC,574918
Bo,Majama Umc,MANJAMA UMC,CHC,574918
Bo,Mamboma,Mamboma ,CHC,574918
Bo,Mongere,Bo,CHC,574918
Bo,Needy,Messima BO kakua,CHC,574918
Bo,New Police Barracks,kakua,CHC,574918
Bo,Ngelehun -Badjia,Ngelehun,CHC,574918
Bo,Njala-Komboya,Njala-Komboya,CHC,574918
Bo,Praise Foundation,Bo,CHC,574918
Bo,Sahn Bumpeh,Sahn Bumpeh Village,CHC,574918
Bo,Sahn-Niawa Lenga,Gboubu,CHC,574918
Bo,Slrc Clinic,KUKUA,CHC,574918
Bo,Yamandu,Yamandu ,CHC,574918
Bo,Yambama,Yambama ,CHC,574918
Bo,Yemoh Town,"Yemoh Town, Kauka                                 ",CHC,574918
Bo,Zion Chc Bandawa,"Bandawa Village, Tikonko Chiefdom, Bo District    ",CHC,574918
Bo,Baoma Station,Baoma,CHP,574918
Bo,Bathurst,Bathurst community,CHP,574918
Bo,Brima Town,Bo,CHP,574918
Bo,Edc Unit Staff Clinic,Bo Town,CHP,574918
Bo,Faabu,Faabu community,CHP,574918
Bo,Feiba,Feiba community,CHP,574918
Bo,Foya,Bo,CHP,574918
Bo,Gbaama,"Gbaama, Jaima Gbongor                             ",CHP,574918
Bo,Gbotima,Gbotima,CHP,574918
Bo,Grima,Grima ,CHP,574918
Bo,Kandeh Town,KANDEH TOWN COMMUNITY HEALTH POST,CHP,574918
Bo,Kpetema -Bumpe Ngao,"Kpetema, Bumpe Ngao                           ",CHP,574918
Bo,Kpetewoma,Kpetewoma village ,CHP,574918
Bo,Maguama,BO,CHP,574918
Bo,Mano Jaiama,Jaiama Bongor ,CHP,574918
Bo,Momajo,Momajo,CHP,574918
Bo,Morning Star,Kukua A line Off SEWA Rd,CHP,574918
Bo,Nengbema,Lower Niawa Lenga ,CHP,574918
Bo,Nyainyahun,Jaiama Gbongor ,CHP,574918
Bo,Pujehun,Bo,CHP,574918
Bo,Sembehun 17,"SEMBEHUN 17,TIKONKO CHIEFDOM,BO               ",CHP,574918
Bo,Simbo Town,Bo,CHP,574918
Bo,Taninahun - Bumpeh Ngao,"Taninahun vILLAGE, Bumpeh Chiefdom                ",CHP,574918
Bo,Tiebor,TIEBOR,CHP,574918
Bo,Telu,Jaiama Gbongor ,CHP,574918
Bo,Tungbebu,Tungbebu,CHP,574918
Bo,Barlie,Barlie,MCHP,574918
Bo,Batiama,BATIAMA ,MCHP,574918
Bo,Blamawo,Blamawo ,MCHP,574918
Bo,Bontiwo,Bontiwo community ,MCHP,574918
Bo,Buma,"Buma, Bumpe Ngao.                            ",MCHP,574918
Bo,Bumkaku,BUMKAKU ,MCHP,574918
Bo,Bumpeh -Bumpe Ngao,"Bumpeh - Bumpeh Ngao Chiefdom, Bo District        ",MCHP,574918
Bo,Fanima -Wonde,Fanima,MCHP,574918
Bo,Favour,Bo,MCHP,574918
Bo,Fengehun,FENGEHUN,MCHP,574918
Bo,Fullawahun,Bo,MCHP,574918
Bo,Gbangba,Bo,MCHP,574918
Bo,Gbangbalia,"Gbangbalia, Bagbo                                 ",MCHP,574918
Bo,Gbanja Town,Gbanja Town ,MCHP,574918
Bo,Gbongboma,Gbongboma ,MCHP,574918
Bo,Golu,Gollu,MCHP,574918
Bo,Griema,"Griema Village, Tikonko Chiefdom, Bo District     ",MCHP,574918
Bo,Heima,Heima community,MCHP,574918
Bo,Kakama,Kakama,MCHP,574918
Bo,Kambawama,kambawama,MCHP,574918
Bo,Karleh,Karleh,MCHP,574918
Bo,Kassama,"Kassama Village, Tikonko Chiefdom, Bo District    ",MCHP,574918
Bo,Kasse,Kasse,MCHP,574918
Bo,Kigbai,Kigbai,MCHP,574918
Bo,Komboya Gbauja,Komboya ,MCHP,574918
Bo,Kondiama,Kondiama,MCHP,574918
Bo,Korbu,Korbu,MCHP,574918
Bo,Kpamajama,Bo,MCHP,574918
Bo,Kpewama,Kpewama ,MCHP,574918
Bo,Kpuabu,Valunia ,MCHP,574918
Bo,Kpumbu,Kpumbu,MCHP,574918
Bo,Lowama,lowoma community,MCHP,574918
Bo,Makayonie,"Makayonie,BUMPE-NGAO                         ",MCHP,574918
Bo,Mano Yorgbo,Mano Yogbo ,MCHP,574918
Bo,Massah Memorial Maternity,Bo,MCHP,574918
Bo,Mattru On The Rail,Mattru on the Rail,MCHP,574918
Bo,Mbundorbu,Mbundorbu,MCHP,574918
Bo,Mendewa,Mendewa Bagbwe ,MCHP,574918
Bo,Mid Land,MIDLAND ,MCHP,574918
Bo,Mokoba,"Mokaba Village, Bumpeh Ngao Chiefdom, Bo District ",MCHP,574918
Bo,Mokpende,"Mokpende,Bumpe Ngao                          ",MCHP,574918
Bo,Nafaya,,MCHP,574918
Bo,Ndegbomie Clinic,Bo,MCHP,574918
Bo,Nduvuibu,Kukua,MCHP,574918
Bo,Ngieyehun,Ngieyehun community,MCHP,574918
Bo,Ngogbebu,Ngogbebu,MCHP,574918
Bo,Ngolahun Jabaty,Ngolahun Jabaty,MCHP,574918
Bo,Niagorehun,Niagorehun ,MCHP,574918
Bo,Niagorehun,Niagorehun-Komboya,MCHP,574918
Bo,Buma,Bagbwe,MCHP,574918
Bo,Sembehun Tarbey,"Sembehun Tarbey Village, Tikonko Chiefdom, Bo     ",MCHP,574918
Bo,Sembehun Mamangewor,"Sembehun Mamangewor village, Gbo C/Dom, Bo        ",MCHP,574918
Bo,Tengbewabu,Tengbewabu,MCHP,574918
Bo,Unimus,UNIMUS,MCHP,574918
Bo,Upper Saama,Upper Saama,MCHP,574918
Bo,Wallehun,"Wallehun Village, Bumpeh Chiefdom                 ",MCHP,574918
Bo,Yakaji,Yakaji,MCHP,574918
Bo,Torkpoi Town,Bo,MCHP,574918
Bo,Gender,kukua Yemor Town,MCHP,574918
Bo,Jalihun,JALIHUN,CHC,574918
Bo,Dougountoni Hospital,DOUGOUNTONI HOSPITAL ,HOSPITAL,574918
Bo,Kagbiama,"Kagbiama, Bunpe Ngao                         ",MCHP,574918
Bo,Njandama,Njandama,MCHP,574918
Bo,Grima,Grima,MCHP,574918
Bo,Kaniya,"Kaniya,Bumpe Ngao.                           ",MCHP,574918
Bo,Damballa,Dambala,CHC,574918
Bo,Jembe,Jembe,CHC,574918
Bo,Koribondo,koribondo community,CHC,574918
Bo,Ngalu,Bagbwe,CHC,574918
Bo,Njandama,,MCHP,574918
Pujehun,Kowama,Kowama,CHC,346461
Pujehun,Gbahama,Gbahama ,CHP,346461
Pujehun,Bandajuma,Bo,MCHP,346461
Pujehun,Bendu,Bendu Town ,CHC,346461
Pujehun,Bayama,Bayama,CHP,346461
Pujehun,Bendu,Bendu town ,CHP,346461
Pujehun,Gbahama,Gbahama ,CHP,346461
Pujehun,Nyandehun,nyandehun,CHP,346461
Pujehun,Bandajuma,,CHC,346461
Pujehun,Pejewa,,CHP,346461
Pujehun,Bendu,Bendu,CHC,346461
Pujehun,Konia,Konia,MCHP,346461
Pujehun,Nyandehun,NYANDEHUN,MCHP,346461
Pujehun,Falaba,Falaba,CHC,346461
Pujehun,Bandasuma,Bandasuma,MCHP,346461
Pujehun,Bendu,"BENDU,KOWA CHIEFDOM,MOYAMBA                  ",MCHP,346461
Pujehun,Falaba,FALABA,MCHP,346461
Pujehun,Sahun,SAHUN,MCHP,346461
Pujehun,Waiima,"WAIIMA,KORI CHIEFDOM MOYAMBA                 ",MCHP,346461
Pujehun,Sumbuya,SUMBUYA ,CHP,346461
Pujehun,Pujehun Town,Pujehun GOV Hospital ,HOSPITAL,346461
Pujehun,Bandajuma,Sowa Chiefdom,CHC,346461
Pujehun,Bandasuma,Bandasuma village ,CHC,346461
Pujehun,Blama Massaquoi,GALLINAS PERRI ,CHC,346461
Pujehun,Fairo,Sorogbeima ,CHC,346461
Pujehun,Futa Pejeh,PEJEH,CHC,346461
Pujehun,Jendema,Jendema Town ,CHC,346461
Pujehun,Karlu,YKK,CHC,346461
Pujehun,Mano Bonjeima,MANO BONJEIMA,CHC,346461
Pujehun,Dandabu,kpanga karbondeh,CHP,346461
Pujehun,Falaba,Falaba Village ,CHP,346461
Pujehun,Fanima,Fanima village ,CHP,346461
Pujehun,Funyehun,GALLINES PERRI ,CHP,346461
Pujehun,Gbaa,Gbaa Village ,CHP,346461
Pujehun,Geoma Jargoh,Geoma Jargoh Village ,CHP,346461
Pujehun,Gofor,Makpele ,CHP,346461
Pujehun,Hongai,Hongai Village ,CHP,346461
Pujehun,Makorma,GALLINAS,CHP,346461
Pujehun,Massan,MASSAN,CHP,346461
Pujehun,Njaluahun,Njaluanun Village ,CHP,346461
Pujehun,Sulima,Solima,CHP,346461
Pujehun,Sumbuya Bessima,sumbuya village,CHP,346461
Pujehun,Taninahun,Taninahun Village ,CHP,346461
Pujehun,El-Shaddai Clinic,El-Shaddai Clinic ,MCHP,346461
Pujehun,Static Pujehun,Static Pujehun ,MCHP,346461
Pujehun,Bangorma,YKK,MCHP,346461
Pujehun,Bayama,CRIM ,MCHP,346461
Pujehun,Bendu,"BENDU, MALEN CHIEFDOM                             ",MCHP,346461
Pujehun,Bengani,Bengani Village,MCHP,346461
Pujehun,Blama Perri,GALLINES PERRI ,MCHP,346461
Pujehun,Bomi,Bomi Village ,MCHP,346461
Pujehun,Bomu Saamba,Bomu Saama Village,MCHP,346461
Pujehun,Bongay,PEJE ,MCHP,346461
Pujehun,Borborbu,Borborbu Village,MCHP,346461
Pujehun,Borma,BORMA YKK,MCHP,346461
Pujehun,Bumbeh Pejeh,Bumbeh Pejeh Village ,MCHP,346461
Pujehun,Fonikoh,GALLINES PERRI ,MCHP,346461
Pujehun,Futagolawoma,Futa Golawomw villaeg,MCHP,346461
Pujehun,Gbahama,Gbahama vILLAGE,MCHP,346461
Pujehun,Gibina,KPANGA KABONDE ,MCHP,346461
Pujehun,Gissiwolo,Makpele ,MCHP,346461
Pujehun,Koijeh, Sorogbeima Chiefdom ,MCHP,346461
Pujehun,Kombeima,Kombeima Village,MCHP,346461
Pujehun,Konia,Konia Village,MCHP,346461
Pujehun,Kowama,GALLINAS,MCHP,346461
Pujehun,Kpowubu Massaquoi,kpowubu village,MCHP,346461
Pujehun,Liya,Lihay Village,MCHP,346461
Pujehun,Malema 1,Malema 1 Village,MCHP,346461
Pujehun,Mandeima,Mandeima Village,MCHP,346461
Pujehun,Navai,Sorogbema,MCHP,346461
Pujehun,Ngajubaoma/Missibu,Ngajuaoma Missibu Village,MCHP,346461
Pujehun,Nyandehun,Nyandehun Village ,MCHP,346461
Pujehun,Nyandehun,HYANDEHUN MANO SAKRIM,MCHP,346461
Pujehun,Pehala,Pehala Village ,MCHP,346461
Pujehun,Pejewa,Pejewa village ,MCHP,346461
Pujehun,Saahun,Saahun Kpaka ,MCHP,346461
Pujehun,Saahun,Saahun Village (Barri C/dom) ,MCHP,346461
Pujehun,Salima,KPANGE KARBONDEH,MCHP,346461
Pujehun,Sawula,Sawula Village ,MCHP,346461
Pujehun,Sebengu,Mano Sakrim,MCHP,346461
Pujehun,Sengama,Sengama Village,MCHP,346461
Pujehun,Sengama,Sengama Village,MCHP,346461
Pujehun,Sorbeh Grima,Sorbeh Grima Village ,MCHP,346461
Pujehun,Tambeyama,Tambeyama Village ,MCHP,346461
Pujehun,Taninahun,KPANGA KABONDE ,MCHP,346461
Pujehun,Taninahun,TANINAHUN MALEN,MCHP,346461
Pujehun,Tongay,TOGAY KPAGACAGBONDE,MCHP,346461
Pujehun,Upper Komende,Sowa ,MCHP,346461
Pujehun,Vaama,Barri Chiefdom ,MCHP,346461
Pujehun,Vaama,Vaama Village,MCHP,346461
Pujehun,Vawahun Sowa,Vawahun Sowa ,MCHP,346461
Pujehun,Wai,Wai village,MCHP,346461
Pujehun,Waiima,Barri Chiefdom ,MCHP,346461
Pujehun,Sumbuya,Sumbuya ,CHC,346461
Pujehun,Bumpeh Perri,GALLINAS PERRI ,CHC,346461
Pujehun,Gbondapi,Gbondapi Town,CHC,346461
Pujehun,Potoru,Potoru New town,CHC,346461
