section,latitude,longitude,population
Baimba,8.069610199999998,-11.6663944,2657
Bainyawa,7.6991365,-11.740132250000002,2238
Bambara,8.2192026402,-11.195790228,3443
Bambawo,7.9218332173913035,-11.571640521739129,13074
Biatong,8.49185501257143,-11.423465179523808,11251
Bongor,7.771635750000001,-11.98565425,3126
Bonya,8.25294805245652,-11.085447689347827,23895
Borley,8.0090484624,-11.34362873,1679
Boryongor,8.268395191000002,-11.422990749999999,2021
Bum,7.5067786666666665,-11.876191666666665,1646
Bumpe,7.912257727272726,-11.935159909090908,9801
Bundoryama,8.170354287,-11.259605974000001,9184
Central Kargoi,7.7439398,-11.4586606,3846
Dagbanya,7.926136983444443,-11.073533130555557,7890
Dakowa,7.766614774416667,-11.110402102500002,6780
Dakpana,8.039513894062502,-11.029897759374999,7258
Damai,8.09829175,-11.417577000000001,2025
Danyadejo,7.766972473714286,-11.151334711428571,4252
Daru,7.473789345454545,-11.136288934545455,3885
Dassama,7.846213164,-11.107200150999997,5482
Deilenga,8.407496375,-11.637937999999997,14338
East Ward-Batiema Layout,7.9683155999999995,-11.715521599999999,3743
East Ward-Bumpeh-Wo - Torkpoi Town,7.953152375,-11.714551374999996,9580
East Ward-Gbondo Town,7.944901000000001,-11.717900181818182,6253
East Ward-Kindia Town-Yimoh Town,7.9597711578947346,-11.724977631578948,12111
East Ward-Lower Samamie-Durbar ground,7.966643722222222,-11.730028833333334,10294
East Ward-Manjama - Shellmingo,7.9403941428571425,-11.729873428571427,10184
East Ward-Messima I,7.953506900000001,-11.725149400000001,7088
East Ward-Messima II,7.949272625000001,-11.727303,6431
East Ward-Moriba Town-New  site,7.961749592592592,-11.733982592592596,14907
Faama,7.522516299166668,-11.008456508333333,3153
Fallay,8.071711321913043,-11.21816634847826,25279
Famanjo,8.452810545592591,-11.2921459462963,12269
Fonde,8.239606010166666,-11.30921134,2918
Fowai,7.750035827199999,-11.191717119999998,5242
Foya,7.936661,-11.886140333333335,1575
Gao,7.672176111111112,-11.852679222222223,6449
Gbo,8.078836166666667,-11.850839333333333,2429
Gbo Kakajama A-Airfield,7.897280179,-11.17341306,780
Gbo Kakajama A-Burma,7.8914932135294125,-11.169654180588235,11656
Gbo Kakajama A-Kissy Town,7.864319281090909,-11.182254006363637,12124
Gbo Kakajama A-Kpayama,7.8671032754761905,-11.175850724285716,12132
Gbo Kakajama A-Lambayama,7.8493648732666665,-11.204635027333332,9520
Gbo Kakajama A-Lumbebu,7.885991431913044,-11.179313256956519,12983
Gbo Kakajama A-Njaguema,7.873312331269232,-11.187789056538463,14770
Gbo Kakajama A-Shimbeck,7.865079384880001,-11.191958464399999,24504
Gbo Kakajama A-Technical/Gbongbotoh,7.880377867999997,-11.182631566341465,23598
Gbo Kakajama A-Tilorma - Gbenderu,7.845367503470587,-11.184943219411764,11313
Gbo Kakajama B,7.8788419705,-11.151745434999999,932
Gbo Lambayama A-Fonikoh,7.859275573099998,-11.208548167,5953
Gbo Lambayama A-Gombu,7.909551392285714,-11.171821555714285,5101
Gbo Lambayama A-Kondebotihun,7.899366496249999,-11.181637754,13610
Gbo Lambayama A-Lekpetieh,7.892757798833333,-11.184852826666665,2828
Gbo Lambayama A-Ndigbuama,7.869047672222221,-11.19573186111111,4325
Gbo Lambayama A-Nyandeyama,7.870975171030302,-11.201391405151519,17647
Gbo Lambayama A-RTI,7.914987795499999,-11.168030775,2442
Gbo Lambayama A-Reservation,7.884081915681819,-11.189479557272726,15157
Gbo Lambayama B,7.9141796612,-11.2133668,2040
Gbogbeima,8.3264159045,-11.3113093075,2430
Gboro,8.103608469000001,-11.014117732941175,8781
Gboro-Lokoma,8.051826142666666,-11.31261958888889,4629
Gegbwema,7.577280859999999,-11.142034579999999,2374
Giebu,7.672578387000001,-11.121939697142855,3427
Giewoma,7.60022360125,-11.188244931249999,4916
Golama,8.3002582515,-11.20770719,2243
Gorahun,7.462502033434782,-11.232030085652172,9999
Gorama,7.819035947900001,-11.381103561,5999
Gorapon,7.542669857142859,-11.924875,3056
Hulorhun Njagbudor,8.183279742,-10.923109758333334,2760
Hulorhun Njeigor,8.216365109142856,-10.90738985,3386
Jewahun,7.6056968618,-11.139804610000002,2879
Jimmi,7.628407857142858,-11.81024657142857,7926
Joi,7.706853241,-11.273748062857143,2840
Jongo,8.07225425,-11.514176999999998,6217
Joru,7.680519893142858,-11.042817422857143,3635
Kaduawo,8.126278333333333,-11.758275333333335,2187
Kagbado Kamboima,7.945699244388887,-11.124974952777778,7114
Kagbado Njeigbla,7.899434912399999,-11.046706519999999,2143
Kaklawa,8.406951475466665,-11.360650598666666,8110
Kakplao,7.7613687013999995,-11.363462790000002,2663
Kamba,7.659815625,-11.905946125,3773
Kamboma,7.843716189083334,-11.285471679166667,6465
Karga,7.977498377571428,-11.314868414285716,3409
Kargbevu,7.641019142857142,-11.958509142857148,6392
Karteh,8.245624363,-11.165062596666667,1796
Keisua,8.21618342857143,-11.498532,4569
Kemoh,8.122788333666668,-11.487443931999998,16575
Kendebu,8.2340115,-11.7681635,1010
Kimaya,7.97734,-11.4846595,1140
Klajie,7.80912938175,-11.0744634425,1652
Kokoru,7.643414391571428,-11.095925032857142,3893
Kona Foiya,8.005443203866665,-11.007653088,6397
Kona Kpindibu,8.027072226760001,-11.112431447200004,11788
Konjo Buiima,8.267295681285713,-10.892069652857144,5589
Konjo Njeigor,8.368660455999999,-10.89447266,967
Konjo Yematanga,8.320182289333333,-10.917088213333335,2043
Korgay,8.09654963125,-11.21875583375,4324
Korjeh,7.9403845,-11.58525025,1592
Korjei,7.645675864,-11.471867753333333,1752
Korjei Buima,8.104913653333332,-11.056896231666668,2806
Korjei Ngieya,8.120529962555556,-11.106869877777777,4162
Koya Gbundohun,7.5557171869,-11.300420274,4073
Kpallay,8.0455246,-11.4621148,2290
Kpandobu,7.995996142857143,-11.676223714285715,3405
Kpangbalia,7.58152825,-11.8984515,1758
Kpatawa,7.568650932000001,-11.474582745,849
Kpetema,7.841374666666667,-11.987618000000003,2979
Kualley,8.431179289320001,-11.510700939600001,11729
Kuawuma,7.553890546857143,-11.085371741428572,8035
Lower Baimba,7.738326666666667,-11.699173833333333,4625
Lower Dabor,7.689376439333334,-11.223430245555555,3639
Lower Kama,7.720388799999999,-11.6712985,6169
Lower Kargoi,7.617675800000001,-11.6944164,4056
Lower Niawa,7.902905133333333,-11.634671066666668,7118
Lower Pataloo,7.9297227999999995,-11.494417733333332,9476
Lower Torgboma,8.099071402833333,-10.971682486666666,2996
Lunia,8.33349808695652,-11.727037260869565,9491
Mabondor,7.616524784666667,-11.443309666666666,1861
Magbao,7.729456750000001,-11.87047975,2197
Mambawa,7.783659,-11.82775675,1663
Mangaru,8.303702,-11.508489999999998,2952
Mano,7.55720975,-11.86258475,2570
Manyeh,7.70728875,-11.531854749999999,3579
Maryu,8.054156333333333,-11.878599666666666,1159
Mawojeh,7.885565,-11.472265285714286,4246
Mendekelema,7.766754956750001,-10.9727885225,1964
Menima,7.6733485319999994,-11.333854993333333,1246
Mokpendeh,8.1305125,-11.702057,1269
Morku,7.7821663999999995,-11.8660824,2091
Nekpondo,7.864346666666666,-11.580025666666666,1639
Ngiebu,7.587952227,-10.974769505,1086
Ngiewoma-Njeigor,7.57801611425,-10.8737466525,1252
Ngolamajie,7.975931625,-11.80546275,4310
Ngovo,8.1764375,-11.775055,811
Nguabu,8.00325538095238,-11.729864333333337,10542
Niagorehun,7.683041,-11.765829799999999,3506
Niawa,7.988139021500003,-11.381696643749999,13034
Njagbla I,7.7728573333333335,-11.783963666666665,1356
Njagbla II,7.836350499999999,-11.729355437499999,8145
Njargbahun,8.127236499999999,-11.44600425,1618
Njeima,7.9398242727272725,-11.40620909090909,5624
Njeiwoma,7.6744508905,-11.48328874,1832
North Ward-Bo Number Two-Borborkombo,7.9759232631578945,-11.727690684210526,10729
